equation,solution
-991 - 295/x**2 + 284/x**5,-991*x - (71 - 295*x**3)/x**4
-81*x + 47 + 455/x**3,-81*x**2/2 + 47*x - 455/(2*x**2)
-592 + 180/x - 885/x**2,-592*x + 180*log(x) + 885/x
405 - 666/x**4,405*x + 222/x**3
-369*x**3 + 572 - 825/x,-369*x**4/4 + 572*x - 825*log(x)
672 - 183/x**2 + 374/x**3,672*x + (183*x - 187)/x**2
-361 + 88/x**2 + 961/x**5,-361*x - (352*x**3 + 961)/(4*x**4)
-870 - 346/x - 759/x**2,-870*x - 346*log(x) + 759/x
-560*x**3 - 123*x**2 - 893,-140*x**4 - 41*x**3 - 893*x
849*x - 709 - 679/x**4,849*x**2/2 - 709*x + 679/(3*x**3)
697 - 736*x**5,-368*x**6/3 + 697*x
211*x**5 + 272*x + 540,211*x**6/6 + 136*x**2 + 540*x
-855*x**2 - 973 + 118/x**4,-285*x**3 - 973*x - 118/(3*x**3)
-564*x**3 + 199 - 579/x**3,-141*x**4 + 199*x + 579/(2*x**2)
-429*x**5 + 215*x**3 + 877,-143*x**6/2 + 215*x**4/4 + 877*x
-459 + 476/x + 226/x**3,-459*x + 476*log(x) - 113/x**2
270*x**4 + 855 + 749/x**4,54*x**5 + 855*x - 749/(3*x**3)
928 - 92/x - 234/x**3,928*x - 92*log(x) + 117/x**2
-642 + 2/x - 745/x**4,-642*x + 2*log(x) + 745/(3*x**3)
758 + 534/x,758*x + 534*log(x)
731 - 642/x**3 - 529/x**4,731*x + (963*x + 529)/(3*x**3)
-439*x**3 + 651 + 309/x**4,-439*x**4/4 + 651*x - 103/x**3
872*x - 190 - 125/x**2,436*x**2 - 190*x + 125/x
764*x**3 - 43,191*x**4 - 43*x
757*x**2 + 989 + 165/x**4,757*x**3/3 + 989*x - 55/x**3
748*x**5 - 582 - 862/x**3,374*x**6/3 - 582*x + 431/x**2
737 + 642/x**2 + 666/x**3,737*x + (-642*x - 333)/x**2
-513 - 279/x**2,-513*x + 279/x
-909*x**5 + 790 + 262/x,-303*x**6/2 + 790*x + 262*log(x)
-772*x**4 - 840 + 731/x**5,-772*x**5/5 - 840*x - 731/(4*x**4)
21*x - 461 - 136/x**3,21*x**2/2 - 461*x + 68/x**2
-466*x**5 - 934 + 618/x**3,-233*x**6/3 - 934*x - 309/x**2
267*x**3 - 63 + 328/x**3,267*x**4/4 - 63*x - 164/x**2
323*x - 1157,323*x**2/2 - 1157*x
896*x**5 - 586 + 918/x**2,448*x**6/3 - 586*x - 918/x
846 - 1085*x**5,-1085*x**6/6 + 846*x
229*x**3 - 249,229*x**4/4 - 249*x
854 - 335/x,854*x - 335*log(x)
-655*x + 834 + 192/x**2,-655*x**2/2 + 834*x - 192/x
-130*x**3 - 784 - 39/x,-65*x**4/2 - 784*x - 39*log(x)
473*x**5 - 776 + 937/x,473*x**6/6 - 776*x + 937*log(x)
-1175 + 966/x**2,-1175*x - 966/x
-732*x**3 - 637,-183*x**4 - 637*x
364 - 553/x**5,364*x + 553/(4*x**4)
-72*x**5 + 666*x**4 - 750,-12*x**6 + 666*x**5/5 - 750*x
749*x**3 - 378*x**2 + 745,749*x**4/4 - 126*x**3 + 745*x
-1000 - 415/x - 836/x**2,-1000*x - 415*log(x) + 836/x
563*x**2 + 576*x + 378,563*x**3/3 + 288*x**2 + 378*x
162*x**2 - 326 - 254/x**2,54*x**3 - 326*x + 254/x
-993*x**3 + 278 + 387/x,-993*x**4/4 + 278*x + 387*log(x)
-384*x - 375 + 592/x,-192*x**2 - 375*x + 592*log(x)
667 - 884*x,-442*x**2 + 667*x
826 - 953/x**4,826*x + 953/(3*x**3)
-739 + 922/x**3 + 526/x**5,-739*x - (922*x**2 + 263)/(2*x**4)
-625 - 754/x**2 + 665/x**4,-625*x - (665 - 2262*x**2)/(3*x**3)
367,367*x
370*x**4 - 868 + 879/x,74*x**5 - 868*x + 879*log(x)
-871*x**2 - 579 - 90/x**5,-871*x**3/3 - 579*x + 45/(2*x**4)
465*x + 658,465*x**2/2 + 658*x
-890*x**4 - 506 + 170/x**3,-178*x**5 - 506*x - 85/x**2
-633*x**5 - 314 + 570/x**5,-211*x**6/2 - 314*x - 285/(2*x**4)
684*x**5 - 488 - 275/x,114*x**6 - 488*x - 275*log(x)
-529*x**2 - 1391,-529*x**3/3 - 1391*x
387 - 970/x - 176/x**4,387*x - 970*log(x) + 176/(3*x**3)
995*x**3 - 392,995*x**4/4 - 392*x
212*x**4 + 829,212*x**5/5 + 829*x
127*x**4 + 541 + 201/x**2,127*x**5/5 + 541*x - 201/x
-716 + 408/x**2 + 307/x**4,-716*x - (1224*x**2 + 307)/(3*x**3)
-93*x**4 - 319 + 791/x**2,-93*x**5/5 - 319*x - 791/x
-274*x**5 - 14*x**3 + 271,-137*x**6/3 - 7*x**4/2 + 271*x
153*x**2 - 250 - 651/x**5,51*x**3 - 250*x + 651/(4*x**4)
357*x**2 + 575,119*x**3 + 575*x
-582 - 582/x**3 - 674/x**5,-582*x - (-582*x**2 - 337)/(2*x**4)
569 + 92/x - 288/x**3,569*x + 92*log(x) + 144/x**2
293*x**3 + 417*x - 951,293*x**4/4 + 417*x**2/2 - 951*x
-830 + 473/x - 335/x**5,-830*x + 473*log(x) + 335/(4*x**4)
-929*x**2 - 764*x - 460,-929*x**3/3 - 382*x**2 - 460*x
100 - 18/x + 534/x**5,100*x - 18*log(x) - 267/(2*x**4)
-836*x**2 + 593 + 265/x**5,-836*x**3/3 + 593*x - 265/(4*x**4)
155*x**4 + 657 + 739/x**5,31*x**5 + 657*x - 739/(4*x**4)
962*x**5 - 1366,481*x**6/3 - 1366*x
-971*x**2 - 963,-971*x**3/3 - 963*x
-485*x**5 + 457*x**2 - 976,-485*x**6/6 + 457*x**3/3 - 976*x
525*x**3 - 137,525*x**4/4 - 137*x
870*x**5 + 84 - 669/x**5,145*x**6 + 84*x + 669/(4*x**4)
-341 + 342/x**3 + 120/x**5,-341*x - (171*x**2 + 30)/x**4
449 - 413/x**2 + 185/x**5,449*x + (1652*x**3 - 185)/(4*x**4)
991*x**2 + 794*x - 216,991*x**3/3 + 397*x**2 - 216*x
-582*x**5 - 328,-97*x**6 - 328*x
-788*x**4 + 330 + 305/x**4,-788*x**5/5 + 330*x - 305/(3*x**3)
702 - 83/x**2,702*x + 83/x
-1158 + 897/x**2,-1158*x - 897/x
37 - 683/x**2,37*x + 683/x
198*x**4 + 82 - 456/x**3,198*x**5/5 + 82*x + 228/x**2
126*x**4 + 484 - 286/x**2,126*x**5/5 + 484*x + 286/x
554 - 525/x**4 + 656/x**5,554*x + (175*x - 164)/x**4
159*x**5 + 907 + 366/x**2,53*x**6/2 + 907*x - 366/x
-740*x**4 + 192 - 127/x,-148*x**5 + 192*x - 127*log(x)
330*x - 902 - 596/x**5,165*x**2 - 902*x + 149/x**4
146*x**4 - 366 - 907/x,146*x**5/5 - 366*x - 907*log(x)
-176*x**4 - 521 - 212/x**5,-176*x**5/5 - 521*x + 53/x**4
542*x**5 - 671 - 324/x**3,271*x**6/3 - 671*x + 162/x**2
-929*x**2 + 747 + 667/x**5,-929*x**3/3 + 747*x - 667/(4*x**4)
-3*x**5 - 264 - 617/x**2,-x**6/2 - 264*x + 617/x
-119 + 589/x**4,-119*x - 589/(3*x**3)
-198*x + 484 - 531/x,-99*x**2 + 484*x - 531*log(x)
941*x - 783 + 591/x**3,941*x**2/2 - 783*x - 591/(2*x**2)
-291*x**4 + 720 + 868/x,-291*x**5/5 + 720*x + 868*log(x)
-980*x**4 + 187 - 545/x**3,-196*x**5 + 187*x + 545/(2*x**2)
632*x**5 + 530 - 297/x**4,316*x**6/3 + 530*x + 99/x**3
-341*x**4 - 859 + 30/x**2,-341*x**5/5 - 859*x - 30/x
973*x**3 + 585*x + 390,973*x**4/4 + 585*x**2/2 + 390*x
-591*x**3 - 21*x - 285,-591*x**4/4 - 21*x**2/2 - 285*x
739*x**5 - 381 + 386/x**5,739*x**6/6 - 381*x - 193/(2*x**4)
64*x**3 - 1199,16*x**4 - 1199*x
694*x**3 - 148 + 275/x**5,347*x**4/2 - 148*x - 275/(4*x**4)
-509*x + 323 - 707/x,-509*x**2/2 + 323*x - 707*log(x)
-1851 - 590/x**5,-1851*x + 295/(2*x**4)
-903*x + 973 - 806/x**3,-903*x**2/2 + 973*x + 403/x**2
794*x**5 + 892 - 666/x,397*x**6/3 + 892*x - 666*log(x)
-765*x**4 - 640 + 773/x**4,-153*x**5 - 640*x - 773/(3*x**3)
302*x**4 - 324 - 741/x**4,302*x**5/5 - 324*x + 247/x**3
1125*x**5 + 912,375*x**6/2 + 912*x
572*x**5 - 202 - 919/x,286*x**6/3 - 202*x - 919*log(x)
771,771*x
-133*x**5 - 631 - 919/x**5,-133*x**6/6 - 631*x + 919/(4*x**4)
700*x + 499 - 805/x**5,350*x**2 + 499*x + 805/(4*x**4)
652*x**5 - 353 - 953/x**5,326*x**6/3 - 353*x + 953/(4*x**4)
399*x - 1412,399*x**2/2 - 1412*x
133*x - 442,133*x**2/2 - 442*x
-442*x**5 - 578,-221*x**6/3 - 578*x
878 - 773/x**2 - 966/x**3,878*x + (773*x + 483)/x**2
747*x**2 + 205*x - 366,249*x**3 + 205*x**2/2 - 366*x
-313*x**5 - 126*x**4 + 732,-313*x**6/6 - 126*x**5/5 + 732*x
350*x + 1041,175*x**2 + 1041*x
-894*x**2 + 305 - 382/x**2,-298*x**3 + 305*x + 382/x
212 + 423/x + 380/x**2,212*x + 423*log(x) - 380/x
-663*x**3 - 388 - 655/x**2,-663*x**4/4 - 388*x + 655/x
-202 - 719/x + 669/x**3,-202*x - 719*log(x) - 669/(2*x**2)
-465 - 739/x**2,-465*x + 739/x
713 + 904/x**4 + 189/x**5,713*x + (-3616*x - 567)/(12*x**4)
-599*x - 1478,-599*x**2/2 - 1478*x
-611 - 6/x**2 + 4/x**4,-611*x - (4 - 18*x**2)/(3*x**3)
930*x**2 - 359 - 985/x**3,310*x**3 - 359*x + 985/(2*x**2)
360*x**2 + 267 + 690/x**2,120*x**3 + 267*x - 690/x
644*x - 713 + 604/x**2,322*x**2 - 713*x - 604/x
348*x**5 - 77*x + 456,58*x**6 - 77*x**2/2 + 456*x
-59 - 495/x**4 + 595/x**5,-59*x - (595 - 660*x)/(4*x**4)
-721 - 266/x + 215/x**2,-721*x - 266*log(x) - 215/x
572 - 601*x**3,-601*x**4/4 + 572*x
-266*x**4 - 1416,-266*x**5/5 - 1416*x
-542*x**4 + 682*x**2 + 756,-542*x**5/5 + 682*x**3/3 + 756*x
364 + 912/x**2,364*x - 912/x
-846*x + 236 + 460/x,-423*x**2 + 236*x + 460*log(x)
-430*x**2 - 112 - 716/x,-430*x**3/3 - 112*x - 716*log(x)
-545*x**3 - 976 + 886/x**3,-545*x**4/4 - 976*x - 443/x**2
-379*x**4 - 591 + 595/x,-379*x**5/5 - 591*x + 595*log(x)
-78*x - 911 + 924/x**5,-39*x**2 - 911*x - 231/x**4
878*x**5 - 30 - 629/x**4,439*x**6/3 - 30*x + 629/(3*x**3)
-740*x + 752 - 656/x**5,-370*x**2 + 752*x + 164/x**4
-98*x**4 + 57*x**2 + 11,-98*x**5/5 + 19*x**3 + 11*x
897 - 1529/x**3,897*x + 1529/(2*x**2)
548*x**2 - 1040,548*x**3/3 - 1040*x
-373*x**4 + 20*x**3 + 935,-373*x**5/5 + 5*x**4 + 935*x
854 - 266/x + 516/x**2,854*x - 266*log(x) - 516/x
861 - 918/x**3 - 760/x**4,861*x + (1377*x + 760)/(3*x**3)
697*x**2 - 516*x + 957,697*x**3/3 - 258*x**2 + 957*x
-206*x**4 - 707*x**3 - 419,-206*x**5/5 - 707*x**4/4 - 419*x
101 - 342*x**3,-171*x**4/2 + 101*x
710*x**4 - 531 - 711/x**2,142*x**5 - 531*x + 711/x
-112 - 541/x**5,-112*x + 541/(4*x**4)
-290*x + 991 + 238/x,-145*x**2 + 991*x + 238*log(x)
-310*x**2 + 792 + 543/x**4,-310*x**3/3 + 792*x - 181/x**3
934*x**5 + 585 + 813/x,467*x**6/3 + 585*x + 813*log(x)
1134 - 633*x**4,-633*x**5/5 + 1134*x
922 + 120/x**3 - 613/x**5,922*x + (613 - 240*x**2)/(4*x**4)
1791 - 972/x**5,1791*x + 243/x**4
-372*x**3 - 483*x**2 + 837,-93*x**4 - 161*x**3 + 837*x
-419*x**4 - 433,-419*x**5/5 - 433*x
62*x - 810 - 905/x**5,31*x**2 - 810*x + 905/(4*x**4)
-1383 - 390/x,-1383*x - 390*log(x)
-249*x - 381 - 441/x**3,-249*x**2/2 - 381*x + 441/(2*x**2)
-1420 - 309/x**4,-1420*x + 103/x**3
-111*x**2 - 401,-37*x**3 - 401*x
-510*x**3 + 534 - 166/x**4,-255*x**4/2 + 534*x + 166/(3*x**3)
124*x + 90 - 478/x**2,62*x**2 + 90*x + 478/x
120*x**2 - 733,40*x**3 - 733*x
504*x - 988 + 18/x,252*x**2 - 988*x + 18*log(x)
464 - 780/x - 260/x**4,464*x - 780*log(x) + 260/(3*x**3)
416*x**2 - 79,416*x**3/3 - 79*x
110*x**2 - 405 - 899/x,110*x**3/3 - 405*x - 899*log(x)
711 + 511/x - 261/x**3,711*x + 511*log(x) + 261/(2*x**2)
939*x**2 - 594*x + 653,313*x**3 - 297*x**2 + 653*x
-752 - 305/x + 712/x**5,-752*x - 305*log(x) - 178/x**4
-612*x**2 - 630 + 351/x**4,-204*x**3 - 630*x - 117/x**3
-519*x**5 + 29*x + 496,-173*x**6/2 + 29*x**2/2 + 496*x
-901*x**4 - 931 + 87/x**3,-901*x**5/5 - 931*x - 87/(2*x**2)
-839*x**4 + 912*x**3 + 563,-839*x**5/5 + 228*x**4 + 563*x
-91 - 723/x**5,-91*x + 723/(4*x**4)
-414 - 184/x**3 + 411/x**4,-414*x - (137 - 92*x)/x**3
199*x**4 - 958 - 72/x**3,199*x**5/5 - 958*x + 36/x**2
-54 - 36/x + 924/x**5,-54*x - 36*log(x) - 231/x**4
-1486 + 522/x**2,-1486*x - 522/x
-892 - 6/x**3 - 574/x**4,-892*x - (-9*x - 574)/(3*x**3)
187 - 615/x**3,187*x + 615/(2*x**2)
186 + 997/x,186*x + 997*log(x)
-955*x**5 + 689 + 801/x,-955*x**6/6 + 689*x + 801*log(x)
743 - 688*x**4,-688*x**5/5 + 743*x
-94 + 145/x,-94*x + 145*log(x)
-232 - 113/x**2,-232*x + 113/x
-626*x**2 - 191*x - 18,-626*x**3/3 - 191*x**2/2 - 18*x
2*x**2 - 273 + 985/x,2*x**3/3 - 273*x + 985*log(x)
83*x - 506 + 838/x**3,83*x**2/2 - 506*x - 419/x**2
-586 - 437/x + 727/x**4,-586*x - 437*log(x) - 727/(3*x**3)
-731*x - 568 - 855/x**4,-731*x**2/2 - 568*x + 285/x**3
820*x**5 - 481*x**2 + 207,410*x**6/3 - 481*x**3/3 + 207*x
959*x**3 + 362 + 46/x,959*x**4/4 + 362*x + 46*log(x)
254*x**4 - 60 + 812/x**3,254*x**5/5 - 60*x - 406/x**2
-19*x**5 + 120*x + 666,-19*x**6/6 + 60*x**2 + 666*x
-999*x**2 - 218 + 452/x**2,-333*x**3 - 218*x - 452/x
643*x**5 + 7*x + 877,643*x**6/6 + 7*x**2/2 + 877*x
-236*x**3 + 649*x**2 + 405,-59*x**4 + 649*x**3/3 + 405*x
-626*x**5 - 785*x**3 - 687,-313*x**6/3 - 785*x**4/4 - 687*x
-575*x**2 + 921 + 606/x**4,-575*x**3/3 + 921*x - 202/x**3
-439 + 664/x**4,-439*x - 664/(3*x**3)
-200*x**4 - 78,-40*x**5 - 78*x
121*x**3 - 114 - 633/x**2,121*x**4/4 - 114*x + 633/x
743 + 830/x**4,743*x - 830/(3*x**3)
403*x**4 - 66*x + 17,403*x**5/5 - 33*x**2 + 17*x
-1178 + 122/x,-1178*x + 122*log(x)
993*x**3 + 103 - 525/x**2,993*x**4/4 + 103*x + 525/x
629*x**2 - 515 + 138/x**3,629*x**3/3 - 515*x - 69/x**2
-965*x**2 - 16 - 886/x,-965*x**3/3 - 16*x - 886*log(x)
49 - 251/x**2 + 547/x**3,49*x + (502*x - 547)/(2*x**2)
-518 + 228/x**4,-518*x - 76/x**3
-758*x**3 + 342*x + 72,-379*x**4/2 + 171*x**2 + 72*x
670*x**5 + 263 - 799/x,335*x**6/3 + 263*x - 799*log(x)
610*x**3 + 574 + 248/x**3,305*x**4/2 + 574*x - 124/x**2
52*x**5 - 274 + 637/x**5,26*x**6/3 - 274*x - 637/(4*x**4)
-863*x**4 + 479 + 222/x**3,-863*x**5/5 + 479*x - 111/x**2
883*x**3 + 776*x + 279,883*x**4/4 + 388*x**2 + 279*x
970*x**4 + 429 - 961/x**5,194*x**5 + 429*x + 961/(4*x**4)
484*x**5 + 60*x**3 - 853,242*x**6/3 + 15*x**4 - 853*x
-87*x - 845 + 884/x**4,-87*x**2/2 - 845*x - 884/(3*x**3)
746*x**4 + 802 - 802/x**2,746*x**5/5 + 802*x + 802/x
-515*x**2 - 140 - 374/x**4,-515*x**3/3 - 140*x + 374/(3*x**3)
-785 + 336/x**2 + 872/x**5,-785*x - (336*x**3 + 218)/x**4
-22*x**3 + 826*x + 529,-11*x**4/2 + 413*x**2 + 529*x
693 - 275/x**2,693*x + 275/x
-277*x**2 + 496 - 313/x**5,-277*x**3/3 + 496*x + 313/(4*x**4)
-111 + 718/x**2 - 689/x**4,-111*x - (2154*x**2 - 689)/(3*x**3)
774 - 106*x**5,-53*x**6/3 + 774*x
321 - 938*x**3,-469*x**4/2 + 321*x
163 + 141/x**3,163*x - 141/(2*x**2)
761*x**4 - 817*x**3 + 449,761*x**5/5 - 817*x**4/4 + 449*x
-305*x**3 - 118 - 262/x**2,-305*x**4/4 - 118*x + 262/x
-749*x**2 - 376 + 877/x,-749*x**3/3 - 376*x + 877*log(x)
-588*x**5 - 571,-98*x**6 - 571*x
-68*x**4 + 462*x - 565,-68*x**5/5 + 231*x**2 - 565*x
-991 - 300/x**3 + 342/x**4,-991*x - (114 - 150*x)/x**3
-265*x**4 - 29*x**2 + 918,-53*x**5 - 29*x**3/3 + 918*x
451*x**4 + 474 - 687/x**3,451*x**5/5 + 474*x + 687/(2*x**2)
735*x**3 + 383*x + 100,735*x**4/4 + 383*x**2/2 + 100*x
-465*x**2 - 126*x + 203,-155*x**3 - 63*x**2 + 203*x
-190 - 818/x**3,-190*x + 409/x**2
1037*x**5 + 715,1037*x**6/6 + 715*x
-1017 + 286/x**4,-1017*x - 286/(3*x**3)
-360*x**5 + 601 + 410/x**5,-60*x**6 + 601*x - 205/(2*x**4)
-711*x**4 + 442 - 633/x**5,-711*x**5/5 + 442*x + 633/(4*x**4)
-506*x**5 - 957*x**3 - 522,-253*x**6/3 - 957*x**4/4 - 522*x
-665 - 268/x**4,-665*x + 268/(3*x**3)
-812 + 497/x**2 - 245/x**5,-812*x - (1988*x**3 - 245)/(4*x**4)
661 + 862/x + 678/x**3,661*x + 862*log(x) - 339/x**2
155*x**2 - 214 + 34/x**5,155*x**3/3 - 214*x - 17/(2*x**4)
38*x**3 + 645*x**2 + 761,19*x**4/2 + 215*x**3 + 761*x
790*x**5 + 647*x**2 + 763,395*x**6/3 + 647*x**3/3 + 763*x
827 + 576/x**3,827*x - 288/x**2
1772 - 208/x,1772*x - 208*log(x)
-324 + 570/x - 339/x**5,-324*x + 570*log(x) + 339/(4*x**4)
567 - 1422/x**5,567*x + 711/(2*x**4)
-513 - 444/x**3,-513*x + 222/x**2
1512*x**5 + 508,252*x**6 + 508*x
